Any,Codi comarca,Comarca,Població,Domèstic xarxa,Activitats econòmiques i fonts pròpies,Total,Consum domèstic per càpita
2018,39,"Val d'Aran",9983,1237160,996737,2233897,339.53
2018,40,"Vallès Occidental",917905,35583820,24124484,59708304,106.21
2018,41,"Vallès Oriental",406289,16129792,13253159,29382951,108.77
2017,1,"Alt Camp",43995,1663061,2853335,4516396,103.56
2017,2,"Alt Empordà",139705,8217598,4815683,13033281,161.15
2017,3,"Alt Penedès",106930,4270342,3022309,7292651,109.41
2017,4,"Alt Urgell",20296,940210,1377727,2317937,126.92
2017,5,"Alta Ribagorça",3827,439839,200811,640650,314.88
2017,6,"Anoia",118277,4799172,6097025,10896197,111.17
2017,7,"Bages",175095,7211060,7639437,14850497,112.83
2017,8,"Baix Camp",187471,9496864,5714293,15211157,138.79
2017,9,"Baix Ebre",78180,3428803,4152279,7581082,120.16
2017,10,"Baix Empordà",132906,10304393,6175542,16479935,212.41
2017,11,"Baix Llobregat",813996,31980629,25453011,57433640,107.64
2017,12,"Baix Penedès",100850,6221100,2405508,8626608,169
2017,13,"Barcelonès",2248227,85811270,42763730,128575000,104.57
2017,14,"Berguedà",39013,1364458,844502,2208960,95.82
2017,15,"Cerdanya",17623,1378044,1919712,3297756,214.23
2017,16,"Conca de Barberà",20036,800698,550386,1351084,109.49
2017,17,"Garraf",147504,7394256,2939970,10334226,137.34
2017,18,"Garrigues",18975,741124,964360,1705484,107.01
2017,19,"Garrotxa",56184,2316986,4126878,6443864,112.98
2017,20,"Gironès",187235,7312141,9872260,17184401,107
2017,21,"Maresme",444046,20595871,9482112,30077983,127.07
2017,42,"Moianès",13279,601257,535995,1137252,124.05
2017,22,"Montsià",67491,2724625,1922009,4646634,110.6
2017,23,"Noguera",38726,1648293,1951151,3599444,116.61
2017,24,"Osona",156572,6118967,8327675,14446642,107.07
2017,25,"Pallars Jussà",13280,737376,237160,974536,152.12
2017,26,"Pallars Sobirà",6947,540169,520924,1061093,213.03
2017,27,"Pla d'Urgell",36614,1583555,4448822,6032377,118.49
2017,28,"Pla de l'Estany",31738,1330224,1269907,2600131,114.83
2017,29,"Priorat",9345,342090,137936,480026,100.29
2017,30,"Ribera d'Ebre",22203,956734,8112390,9069124,118.06
2017,31,"Ripollès",24999,1079589,1157776,2237365,118.32
2017,32,"Segarra",22736,847728,1996641,2844369,103.04
2017,33,"Segrià",208059,9204048,7428518,16632566,121.2
2017,34,"Selva",167837,8370741,10809024,19179765,136.64
2017,35,"Solsonès",13360,580710,626048,1206758,119.09
2017,36,"Tarragonès",250488,12825227,44488069,57313296,140.28
2017,37,"Terra Alta",11634,406167,279399,685566,95.65
2017,38,"Urgell",36028,1452148,975943,2428091,110.43
2017,39,"Val d'Aran",9985,1240230,942817,2183047,340.3
2017,40,"Vallès Occidental",910031,35865686,23969357,59835043,107.98
2017,41,"Vallès Oriental",403259,16431926,13643366,30075292,111.64
2016,1,"Alt Camp",44107,1661185,2665065,4326250,103.19
2016,2,"Alt Empordà",140118,8271485,4652959,12924444,161.73
2016,3,"Alt Penedès",106275,4226715,3023044,7249759,108.96
2016,4,"Alt Urgell",20548,947300,1212271,2159571,126.31
2016,5,"Alta Ribagorça",3867,395244,176845,572089,280.03
2016,6,"Anoia",117504,4728482,5784059,10512541,110.25
2016,7,"Bages",174381,7259431,8046674,15306105,114.05
2016,8,"Baix Camp",188358,9329320,5875563,15204884,135.7
2016,9,"Baix Ebre",78977,3448868,4201359,7650227,119.64
2016,10,"Baix Empordà",132598,10285847,5983396,16269243,212.53
2016,11,"Baix Llobregat",809883,31869678,25421040,57290718,107.81
2016,12,"Baix Penedès",99813,6126884,2364606,8491490,168.17
2016,13,"Barcelonès",2232833,84165191,41964365,126129556,103.27
2016,14,"Berguedà",39178,1348510,799439,2147949,94.3
2016,15,"Cerdanya",17704,1338899,1898452,3237351,207.2
2016,16,"Conca de Barberà",20220,741150,509781,1250931,100.42
2016,17,"Garraf",146876,7459255,2985046,10444301,139.14
2016,18,"Garrigues",19090,693387,774696,1468083,99.51
2016,19,"Garrotxa",55999,2227665,4061032,6288697,108.99
2016,20,"Gironès",185330,7046873,8966274,16013147,104.17
2016,21,"Maresme",441505,20694291,9507399,30201690,128.42
2016,42,"Moianès",13209,595949,501076,1097025,123.61
2016,22,"Montsià",67646,2746502,1822371,4568873,111.24
2016,23,"Noguera",38955,1651771,1708644,3360415,116.17
2016,24,"Osona",155641,5973529,7987353,13960882,105.15
2016,25,"Pallars Jussà",13453,721963,203300,925263,147.03
2016,26,"Pallars Sobirà",6986,545692,578816,1124508,214.01
2016,27,"Pla d'Urgell",36711,1593716,4123642,5717358,118.94
2016,28,"Pla de l'Estany",31561,1291337,1067420,2358757,112.1
2016,29,"Priorat",9381,345305,131791,477096,100.85
2016,30,"Ribera d'Ebre",22471,961661,8371916,9333577,117.25
2016,31,"Ripollès",25101,1087930,1125521,2213451,118.75
2016,32,"Segarra",22688,793759,2148974,2942733,96.69
2016,33,"Segrià",208881,9115000,7303052,16418052,119.55
2016,34,"Selva",167694,8222718,10387245,18609963,134.34
2016,35,"Solsonès",13313,564461,690933,1255394,116.16
2016,36,"Tarragonès",249565,12789737,41298125,54087862,140.41
2016,37,"Terra Alta",11761,418737,210675,629412,97.54
2016,38,"Urgell",36059,1449132,1027832,2476964,110.1
2016,39,"Val d'Aran",9930,1204147,1007729,2211876,332.23
2016,40,"Vallès Occidental",904240,35774320,23826057,59600377,108.39
2016,41,"Vallès Oriental",401338,16318469,13033313,29351782,111.4
2015,1,"Alt Camp",44306,1636063,2722696,4358759,101.17
2015,2,"Alt Empordà",139838,8054445,4419269,12473714,157.8
2015,3,"Alt Penedès",106168,4165869,3191216,7357085,107.5
2015,4,"Alt Urgell",20695,935197,1244003,2179200,123.81
2015,5,"Alta Ribagorça",3884,396360,168289,564649,279.59
2015,6,"Anoia",117444,4778574,5898268,10676842,111.47
2015,7,"Bages",174604,7188027,7641018,14829045,112.79
2015,8,"Baix Camp",188026,9471296,5668336,15139632,138.01
2015,9,"Baix Ebre",79748,3465420,4101378,7566798,119.8
2015,10,"Baix Empordà",132355,10022321,5662031,15684352,207.46
2015,11,"Baix Llobregat",806651,31091426,24893352,55984778,105.6
2015,12,"Baix Penedès",99934,6061262,2552027,8613289,166.17
2015,13,"Barcelonès",2225144,83056436,40509465,123565901,102.26
2015,14,"Berguedà",39517,1423542,829997,2253539,98.69
2015,15,"Cerdanya",17870,1284622,1522740,2807362,196.95
2015,16,"Conca de Barberà",20482,812844,501264,1314108,108.73
2015,17,"Garraf",145983,7151536,2785672,9937208,134.22
2015,18,"Garrigues",19342,662681,802841,1465522,93.87
2015,19,"Garrotxa",56063,2248680,4007872,6256552,109.89
2015,20,"Gironès",184993,6907649,8509526,15417175,102.3
2015,21,"Maresme",439512,20196097,8870849,29066946,125.89
2015,42,"Moianès",13098,580414,495071,1075485,121.41
2015,22,"Montsià",68524,2745545,1874703,4620248,109.77
2015,23,"Noguera",39109,1629840,1605506,3235346,114.18
2015,24,"Osona",154925,5814449,7413217,13227666,102.82
2015,25,"Pallars Jussà",13609,736663,195045,931708,148.3
2015,26,"Pallars Sobirà",7060,536563,607214,1143777,208.22
2015,27,"Pla d'Urgell",37053,1582515,4186586,5769101,117.01
2015,28,"Pla de l'Estany",31536,1300667,1074214,2374881,113
2015,29,"Priorat",9547,345512,120384,465896,99.15
2015,30,"Ribera d'Ebre",22723,918309,7689654,8607963,110.72
2015,31,"Ripollès",25342,1052891,1127530,2180421,113.83
2015,32,"Segarra",22647,777366,2002355,2779721,94.94
2015,33,"Segrià",209324,9163292,7217816,16381108,119.93
2015,34,"Selva",168555,8207896,10363124,18571020,133.41
2015,35,"Solsonès",13414,563946,589902,1153848,115.18
2015,36,"Tarragonès",249939,12596402,40040896,52637298,138.08
2015,37,"Terra Alta",11872,401129,215591,616720,92.57
2015,38,"Urgell",36308,1472649,1073074,2545723,111.12
2015,39,"Val d'Aran",9926,1147560,644619,1792179,316.74
2015,40,"Vallès Occidental",900661,35212831,23363113,58575944,107.11
2015,41,"Vallès Oriental",400375,16192241,13026930,29219171,110.8
2014,1,"Alt Camp",44578,1625189,2788655,4413844,99.88
2014,2,"Alt Empordà",140214,7981472,4306446,12287918,155.95
2014,3,"Alt Penedès",106262,4164004,2986095,7150099,107.36
2014,4,"Alt Urgell",20878,921501,1145369,2066870,120.92
2014,5,"Alta Ribagorça",3873,396144,173827,569971,280.23
2014,6,"Anoia",117842,4605919,5606479,10212398,107.08
2014,7,"Bages",184403,7403429,8171835,15575264,109.99
2014,8,"Baix Camp",190249,9528941,11823864,21352805,137.22
2014,9,"Baix Ebre",80637,3392294,4497676,7889970,115.26
2014,10,"Baix Empordà",132886,9458248,4851859,14310107,195
2014,11,"Baix Llobregat",806249,30809259,24661483,55470742,104.69
2014,12,"Baix Penedès",100262,5933565,2506230,8439795,162.14
2014,13,"Barcelonès",2227238,82237554,38891563,121129117,101.16
2014,14,"Berguedà",40039,1393824,796415,2190239,95.37
2014,15,"Cerdanya",18063,1215572,1162875,2378447,184.37
2014,16,"Conca de Barberà",20723,798442,458874,1257316,105.56
2014,17,"Garraf",145886,7590074,2895542,10485616,142.54
2014,18,"Garrigues",19762,665180,702801,1367981,92.22
2014,19,"Garrotxa",56036,2066636,3868508,5935143,101.04
2014,20,"Gironès",185085,6841815,9014071,15855886,101.28
2014,21,"Maresme",437919,20012999,9050995,29063994,125.21
2014,22,"Montsià",69613,2797142,1790537,4587679,110.09
2014,23,"Noguera",39376,1660544,1476874,3137418,115.54
2014,24,"Osona",154897,5574220,6796591,12370811,98.59
2014,25,"Pallars Jussà",13530,752083,192028,944111,152.29
2014,26,"Pallars Sobirà",7220,537167,585147,1122314,203.84
2014,27,"Pla d'Urgell",37128,1532053,4175290,5707343,113.05
2014,28,"Pla de l'Estany",31554,1251445,1014602,2266047,108.66
2014,29,"Priorat",9550,349098,114356,463454,100.15
2014,30,"Ribera d'Ebre",22925,917038,6453950,7370988,109.59
2014,31,"Ripollès",25700,993446,1180675,2174121,105.91
2014,32,"Segarra",22713,734239,1869849,2604088,89.5
2014,33,"Segrià",209768,8976024,7125512,16101536,117.23
2014,34,"Selva",170249,8011628,10255255,18266883,128.93
2014,35,"Solsonès",13497,590638,926171,1516809,119.89
2014,36,"Tarragonès",250306,12751489,38524616,51276105,139.57
2014,37,"Terra Alta",12119,413746,186439,600185,93.54
2014,38,"Urgell",36526,1396467,907574,2304041,104.75
2014,39,"Val d'Aran",9993,1111431,576937,1688368,304.71
2014,40,"Vallès Occidental",899532,34661542,23275814,57937356,105.57
2014,41,"Vallès Oriental",403623,15888994,13615747,29504742,107.85
2013,1,"Alt Camp",44771,1697473,2674706,4372179,103.88
2013,2,"Alt Empordà",141351,8179176,4483290,12662466,158.53
2013,3,"Alt Penedès",106242,4202713,3155991,7358704,108.38
2013,4,"Alt Urgell",21128,929937,1151884,2081821,120.59
2013,5,"Alta Ribagorça",4097,391968,179843,571811,262.11
2013,6,"Anoia",118467,4730942,5474176,10205118,109.41
2013,7,"Bages",185718,7472919,7751893,15224812,110.24
2013,8,"Baix Camp",193455,9677502,10245698,19923200,137.05
2013,9,"Baix Ebre",81514,3390997,3728866,7119863,113.97
2013,10,"Baix Empordà",133787,9528996,5219551,14748546,195.14
2013,11,"Baix Llobregat",808644,31227063,24910788,56137851,105.8
2013,12,"Baix Penedès",101100,6079158,2590907,8670065,164.74
2013,13,"Barcelonès",2240437,83674573,38945124,122619697,102.32
2013,14,"Berguedà",40555,1390862,776472,2167334,93.96
2013,15,"Cerdanya",18630,1336710,1316639,2653349,196.58
2013,16,"Conca de Barberà",20992,836155,451880,1288035,109.13
2013,17,"Garraf",146609,7353811,2546227,9900038,137.42
2013,18,"Garrigues",20058,652445,687635,1340080,89.12
2013,19,"Garrotxa",56106,2069654,3860391,5930045,101.06
2013,20,"Gironès",185085,6887295,9276331,16163626,101.95
2013,21,"Maresme",437431,20130855,9240030,29370885,126.08
2013,22,"Montsià",71577,2697538,1707177,4404715,103.25
2013,23,"Noguera",39828,1647118,1170474,2817591,113.3
2013,24,"Osona",155069,5692392,6365183,12057575,100.57
2013,25,"Pallars Jussà",13607,784788,227831,1012619,158.01
2013,26,"Pallars Sobirà",7330,517686,517210,1034897,193.49
2013,27,"Pla d'Urgell",37249,1540980,4116246,5657226,113.34
2013,28,"Pla de l'Estany",31325,1256360,1040814,2297174,109.88
2013,29,"Priorat",9756,366489,112611,479100,102.92
2013,30,"Ribera d'Ebre",23477,926323,7955341,8881664,108.1
2013,31,"Ripollès",25995,1119910,1171390,2291300,118.03
2013,32,"Segarra",22971,777167,1711211,2488379,93.44
2013,33,"Segrià",210141,9066254,7418179,16484433,118.2
2013,34,"Selva",173128,8017307,9620983,17638290,126.87
2013,35,"Solsonès",13621,601085,788604,1389689,120.9
2013,36,"Tarragonès",251226,12549882,38116024,50665906,136.86
2013,37,"Terra Alta",12310,431836,216539,648375,96.11
2013,38,"Urgell",36863,1451771,949845,2401616,107.9
2013,39,"Val d'Aran",10090,1122614,549732,1672345,304.82
2013,40,"Vallès Occidental",898921,35124562,23709406,58833968,107.05
2013,41,"Vallès Oriental",402989,16018513,13212124,29230637,108.9
2012,1,"Alt Camp",45299,1794009,2578545,4372554,108.5
2012,2,"Alt Empordà",141517,8582301,4540324,13122625,166.15
2012,3,"Alt Penedès",106252,4452419,3314181,7766600,114.81
2012,4,"Alt Urgell",21386,973901,1258703,2232604,124.76
2012,5,"Alta Ribagorça",4235,330192,259940,590132,213.61
2012,6,"Anoia",118817,4971310,6916080,11887390,114.63
2012,7,"Bages",186084,7932563,7582740,15515303,116.79
2012,8,"Baix Camp",193535,10540527,4394018,14934544,149.21
2012,9,"Baix Ebre",83125,3700682,4563251,8263933,121.97
2012,10,"Baix Empordà",133754,10422549,5390491,15813040,213.49
2012,11,"Baix Llobregat",806799,32385719,25091638,57477357,109.98
2012,12,"Baix Penedès",101138,6551468,2440290,8991758,177.47
2012,13,"Barcelonès",2254052,86155670,37154412,123310082,104.72
2012,14,"Berguedà",41202,1459891,1178045,2637936,97.08
2012,15,"Cerdanya",19047,1412019,1894932,3306951,203.11
2012,16,"Conca de Barberà",21148,863056,466330,1329386,111.81
2012,17,"Garraf",147107,7785516,2645568,10431084,145
2012,18,"Garrigues",20212,685024,561195,1246219,92.85
2012,19,"Garrotxa",55855,2343497,3737840,6081337,114.95
2012,20,"Gironès",184187,6873505,9548233,16421738,102.24
2012,21,"Maresme",436487,21427948,9270980,30698928,134.5
2012,22,"Montsià",72121,2820336,1906032,4726368,107.14
2012,23,"Noguera",40200,1805873,1552735,3358608,123.07
2012,24,"Osona",154588,6258682,6921381,13180063,110.92
2012,25,"Pallars Jussà",14113,787315,282936,1070251,152.84
2012,26,"Pallars Sobirà",7457,529020,657883,1186903,194.36
2012,27,"Pla d'Urgell",37267,1552508,3962969,5515477,114.13
2012,28,"Pla de l'Estany",31463,1443741,1029743,2473483,125.72
2012,29,"Priorat",9971,380638,111138,491776,104.59
2012,30,"Ribera d'Ebre",23867,958837,8135751,9094588,110.07
2012,31,"Ripollès",26268,1180825,1211295,2392120,123.16
2012,32,"Segarra",23365,825951,1662250,2488201,97.69
2012,33,"Segrià",209965,9425056,7292915,16717971,122.98
2012,34,"Selva",173518,8924994,10043830,18968824,140.92
2012,35,"Solsonès",13676,640383,492441,1132824,128.29
2012,36,"Tarragonès",251282,13680558,41772215,55452773,149.16
2012,37,"Terra Alta",12713,441824,225143,666967,95.22
2012,38,"Urgell",36975,1543234,1422857,2966091,114.35
2012,39,"Val d'Aran",10056,1112630,731409,1844038,303.13
2012,40,"Vallès Occidental",898173,36611134,25651000,62262134,111.68
2012,41,"Vallès Oriental",402632,17020094,14216816,31236910,115.81
