codimun,any,poblacio
080018,2013,12821
250019,2013,166
080023,2013,293
250024,2013,582
250030,2013,5505
080142,2013,2572
170010,2013,921
170025,2013,771
430017,2013,983
250387,2013,2520
250045,2013,792
250058,2013,325
250061,2013,356
170031,2013,170
250077,2013,2228
250083,2013,1580
250096,2013,764
430038,2013,539
170046,2013,816
250100,2013,244
430043,2013,9772
250117,2013,10000
250122,2013,3544
430056,2013,5267
439044,2013,4487
430069,2013,879
430075,2013,947
080039,2013,10110
430081,2013,364
430022,2013,2664
250138,2013,2778
250143,2013,285
430094,2013,1984
250156,2013,438
250169,2013,3006
250175,2013,283
430108,2013,512
250194,2013,6976
250208,2013,305
250215,2013,3360
430115,2013,1309
250220,2013,114
170062,2013,1721
080044,2013,273
250236,2013,6450
250241,2013,449
430120,2013,5684
170078,2013,2415
430136,2013,7330
080057,2013,9283
439060,2013,3631
430141,2013,22225
170084,2013,5839
250273,2013,1365
250292,2013,2113
430167,2013,5692
430154,2013,131
170097,2013,6527
080060,2013,16280
080076,2013,9391
170101,2013,428
080082,2013,227
430173,2013,132
080095,2013,12845
170118,2013,1063
430189,2013,456
250313,2013,71
250328,2013,79
080109,2013,5981
250334,2013,1522
250349,2013,3528
430192,2013,1637
250365,2013,217
250371,2013,444
080116,2013,2249
080121,2013,2297
170123,2013,1684
080137,2013,1738
080155,2013,224301
089045,2013,13055
080168,2013,2147
250390,2013,355
250404,2013,17544
080174,2013,3965
080180,2013,3306
430206,2013,3356
170157,2013,20492
250411,2013,929
430213,2013,484
082520,2013,33353
080193,2013,1655956
250426,2013,225
170160,2013,1053
250447,2013,220
430228,2013,1863
250450,2013,70
080207,2013,7429
170139,2013,4229
250463,2013,510
250485,2013,2374
251706,2013,296
170182,2013,727
250479,2013,1225
250498,2013,177
430234,2013,285
080214,2013,72
250501,2013,5182
430249,2013,2361
250518,2013,2251
250523,2013,2251
250539,2013,1581
430252,2013,736
430265,2013,1161
080229,2013,16994
170195,2013,2512
170209,2013,5171
170216,2013,212
080235,2013,9944
250557,2013,185
170221,2013,11364
430271,2013,206
430287,2013,4168
172348,2013,240
430290,2013,390
170237,2013,41517
170293,2013,262
170242,2013,508
430304,2013,744
250576,2013,280
170255,2013,1794
250582,2013,6199
430311,2013,2195
170268,2013,795
080240,2013,439
250595,2013,1138
430326,2013,560
430332,2013,1152
250560,2013,261
430347,2013,687
170274,2013,3892
080253,2013,2275
080266,2013,286
170280,2013,398
430350,2013,305
250609,2013,62
170314,2013,276
170307,2013,938
080272,2013,993
250616,2013,101
430363,2013,1282
080288,2013,1667
080291,2013,4948
080305,2013,7803
170329,2013,2916
080312,2013,3549
430379,2013,30482
080348,2013,1098
080327,2013,3213
170335,2013,8391
080333,2013,18102
080351,2013,19762
080370,2013,2596
080386,2013,2100
080364,2013,188
170340,2013,12004
250621,2013,795
439039,2013,3365
430385,2013,36441
170353,2013,718
170366,2013,3215
170372,2013,165
080399,2013,592
170388,2013,534
170391,2013,2487
250637,2013,96
170405,2013,740
080403,2013,15014
439076,2013,5925
080410,2013,17025
080425,2013,3320
170412,2013,326
080431,2013,5201
430398,2013,111
430402,2013,423
080446,2013,5415
170427,2013,665
080459,2013,88
080462,2013,19047
080478,2013,4561
080484,2013,797
430419,2013,242
170448,2013,10833
080497,2013,1638
170486,2013,12533
080575,2013,69
259046,2013,179
250642,2013,141
080522,2013,171
080500,2013,169
080517,2013,25122
080538,2013,4062
080543,2013,12811
080556,2013,775
250674,2013,887
080569,2013,68327
080581,2013,2569
170464,2013,938
080608,2013,162
080594,2013,462
080615,2013,2308
080620,2013,1415
250680,2013,709
170470,2013,11787
250693,2013,530
080636,2013,653
250707,2013,986
080641,2013,2729
430424,2013,3017
080654,2013,1671
080667,2013,2085
430430,2013,5118
250714,2013,46
171899,2013,2013
170499,2013,5462
080673,2013,7737
082687,2013,1197
082665,2013,57752
080689,2013,9461
250729,2013,9468
250735,2013,645
170502,2013,1007
170519,2013,301
250740,2013,188
250753,2013,158
250766,2013,155
170545,2013,477
250772,2013,558
080692,2013,4823
430458,2013,161
080706,2013,387
170558,2013,207
251636,2013,277
251615,2013,435
430461,2013,120
430477,2013,6849
080713,2013,342
430483,2013,1017
080728,2013,15529
250788,2013,1481
170577,2013,1293
080734,2013,90076
170561,2013,2398
430496,2013,1002
430509,2013,4067
170583,2013,242
179011,2013,1319
080749,2013,16950
250791,2013,343
430516,2013,15246
170600,2013,541
170617,2013,258
439018,2013,11834
080752,2013,5920
430537,2013,226
170622,2013,10676
080765,2013,22392
170638,2013,247
250812,2013,327
430542,2013,3758
080771,2013,46968
170643,2013,410
170656,2013,468
250827,2013,385
080787,2013,269
082541,2013,2265
250886,2013,134
080790,2013,403
250851,2013,164
250864,2013,874
250870,2013,61
430555,2013,2829
170059,2013,611
250899,2013,123
430568,2013,873
430574,2013,38
081347,2013,1157
080804,2013,46
259084,2013,256
430580,2013,120
170669,2013,47841
430593,2013,338
170675,2013,1148
430607,2013,3348
250925,2013,155
080826,2013,1631
080811,2013,481
170681,2013,293
080832,2013,2261
250931,2013,786
080847,2013,1555
080850,2013,1441
170694,2013,532
170708,2013,170
170715,2013,1441
250946,2013,185
179026,2013,1753
430614,2013,47
170736,2013,2732
170741,2013,787
080863,2013,20493
430629,2013,416
250962,2013,1234
250978,2013,89
080902,2013,177
430635,2013,714
080879,2013,187
430640,2013,3128
430653,2013,549
430666,2013,198
080885,2013,17028
170754,2013,469
170767,2013,190
170773,2013,970
080898,2013,47498
250984,2013,261
080919,2013,7944
259123,2013,1113
170789,2013,510
430672,2013,780
170792,2013,104038
080924,2013,4982
080930,2013,27
430688,2013,618
250997,2013,1907
170806,2013,202
251001,2013,228
251018,2013,756
080945,2013,2218
080958,2013,93
251023,2013,935
080961,2013,62950
251039,2013,149
251057,2013,156
251044,2013,154
430691,2013,236
080977,2013,1662
170813,2013,439
080996,2013,935
430705,2013,265
170828,2013,601
251095,2013,255
259031,2013,282
251109,2013,7525
251116,2013,131
081000,2013,2697
430712,2013,1172
081629,2013,3189
081017,2013,276617
170834,2013,4396
081022,2013,41287
251155,2013,1056
170849,2013,338
251137,2013,1605
251121,2013,333
251142,2013,100
170852,2013,388
081038,2013,829
170865,2013,3351
259101,2013,126
170871,2013,337
251180,2013,381
251193,2013,3520
251214,2013,1008
251229,2013,2737
081043,2013,946
170887,2013,848
251235,2013,255
251240,2013,185
081056,2013,13114
170890,2013,9197
170904,2013,714
170926,2013,4960
170911,2013,535
251253,2013,418
251266,2013,342
251207,2013,142990
170932,2013,1225
251272,2013,295
081075,2013,16083
081081,2013,6727
251288,2013,133
081069,2013,10476
430727,2013,107
170947,2013,1511
251291,2013,212
430733,2013,97
430748,2013,2386
170950,2013,41159
170963,2013,202
081094,2013,291
171024,2013,755
171030,2013,7822
170985,2013,464
170979,2013,295
251333,2013,905
251305,2013,242
081108,2013,19150
081115,2013,266
081120,2013,21182
081136,2013,78570
430764,2013,594
430751,2013,108
082423,2013,297
081141,2013,28643
081154,2013,4895
430770,2013,545
171002,2013,301
430786,2013,1133
081167,2013,745
081173,2013,3224
430799,2013,574
081189,2013,24176
430803,2013,297
430810,2013,857
081192,2013,9819
430825,2013,467
251312,2013,566
171019,2013,830
251327,2013,218
081206,2013,9891
081213,2013,129613
081228,2013,2629
171058,2013,351
170998,2013,116
251348,2013,774
430831,2013,180
251351,2013,1371
430846,2013,691
081385,2013,6670
430859,2013,308
081234,2013,26568
251370,2013,15301
081249,2013,51692
171077,2013,376
171061,2013,215
251364,2013,104
081287,2013,752
430918,2013,184
171100,2013,1670
081271,2013,3176
430923,2013,13682
171096,2013,981
430862,2013,7464
081252,2013,36823
430884,2013,3096
081304,2013,129
251399,2013,639
081311,2013,1106
251403,2013,1093
430897,2013,437
251386,2013,637
081265,2013,12458
081326,2013,483
081332,2013,197
430901,2013,1891
081350,2013,8822
251425,2013,485
251410,2013,184
251431,2013,91
081363,2013,16752
081379,2013,379
430939,2013,5656
430944,2013,3253
430957,2013,3881
430960,2013,159
081290,2013,721
081398,2013,227
251459,2013,93
250254,2013,1920
081402,2013,6112
081419,2013,6161
171117,2013,1460
251462,2013,318
081424,2013,170
430976,2013,629
430982,2013,546
251484,2013,247
081430,2013,3697
081458,2013,3951
171122,2013,228
081461,2013,2108
081477,2013,24458
251497,2013,1860
251500,2013,198
251517,2013,994
081483,2013,4417
081496,2013,1218
171143,2013,38003
251522,2013,166
081445,2013,894
251538,2013,197
251543,2013,120
171156,2013,393
251556,2013,799
081509,2013,354
081516,2013,585
081521,2013,164
081537,2013,799
251569,2013,1081
171169,2013,422
251575,2013,196
081542,2013,911
081555,2013,9823
171175,2013,23864
171181,2013,18333
251581,2013,2185
171194,2013,128
171215,2013,318
171208,2013,1494
081568,2013,15125
431009,2013,4967
081574,2013,11715
430995,2013,340
089058,2013,3036
171236,2013,470
171241,2013,2566
081580,2013,4318
171254,2013,169
081593,2013,18893
171267,2013,413
431016,2013,179
171289,2013,557
431021,2013,558
171292,2013,181
251641,2013,428
171306,2013,452
081607,2013,423
431037,2013,1294
171328,2013,2024
251654,2013,343
431042,2013,2913
431055,2013,230
081614,2013,17196
081635,2013,28840
431068,2013,1009
251667,2013,195
251673,2013,281
431074,2013,510
081640,2013,1316
431080,2013,2389
171334,2013,1755
171349,2013,314
259118,2013,521
251689,2013,653
251692,2013,203
081653,2013,2311
081666,2013,1087
431093,2013,4087
431107,2013,338
431114,2013,3235
251713,2013,3042
431129,2013,330
081672,2013,8480
431135,2013,494
250306,2013,162
171352,2013,558
251734,2013,2417
081825,2013,4087
431418,2013,129
081688,2013,525
171365,2013,282
251728,2013,2684
431140,2013,435
171404,2013,1044
171371,2013,4717
171387,2013,1068
251749,2013,731
431153,2013,173
431166,2013,665
431172,2013,189
081691,2013,65409
431188,2013,728
081712,2013,2682
251752,2013,255
081705,2013,560
251765,2013,402
251771,2013,411
082303,2013,10528
081727,2013,28702
171390,2013,1903
251790,2013,268
081751,2013,4390
171411,2013,9775
081748,2013,572
251804,2013,257
431191,2013,1220
251811,2013,261
251826,2013,1395
081764,2013,220
081770,2013,42
171426,2013,4026
170433,2013,197
431205,2013,589
171432,2013,219
081786,2013,573
431362,2013,15329
431212,2013,815
171447,2013,269
081799,2013,922
431227,2013,160
251832,2013,667
431248,2013,570
431251,2013,1146
259059,2013,456
251850,2013,937
171450,2013,1836
171463,2013,4427
431264,2013,1779
251863,2013,267
171479,2013,10818
081803,2013,39189
259139,2013,95
431233,2013,108535
171485,2013,2328
171498,2013,524
431270,2013,1354
431286,2013,1223
171501,2013,2087
431299,2013,6900
171518,2013,235
081810,2013,10899
431303,2013,243
431310,2013,7807
081831,2013,6696
431325,2013,527
171523,2013,19984
431331,2013,8298
251898,2013,3331
431346,2013,387
081846,2013,80034
171539,2013,316
089019,2013,276
081878,2013,217968
081884,2013,152
251902,2013,355
081901,2013,301
171544,2013,167
081918,2013,6828
431359,2013,550
439057,2013,30087
171557,2013,33337
251919,2013,399
081944,2013,37906
081859,2013,256
081957,2013,109
081960,2013,26862
081976,2013,11839
171576,2013,171
171833,2013,364
081982,2013,6565
081995,2013,939
082009,2013,83667
082016,2013,572
082037,2013,3791
082021,2013,18423
082042,2013,4190
171582,2013,674
082055,2013,97579
082068,2013,1021
251961,2013,130
082074,2013,3037
082080,2013,7889
171595,2013,862
082107,2013,6496
171609,2013,22643
082114,2013,45956
171616,2013,1596
082129,2013,620
171621,2013,251
082093,2013,9175
171637,2013,4198
251924,2013,1152
251977,2013,205
171642,2013,5894
082153,2013,3704
081939,2013,1445
439023,2013,3641
082166,2013,29
171655,2013,868
171674,2013,3295
082188,2013,10919
082135,2013,9137
082172,2013,34552
171851,2013,3081
171668,2013,847
089030,2013,241
171693,2013,3699
082205,2013,3235
179032,2013,1358
431378,2013,2781
171680,2013,521
082212,2013,20478
082227,2013,2572
171714,2013,274
251930,2013,1002
082233,2013,2533
082251,2013,121
082248,2013,1240
171729,2013,709
259025,2013,652
082264,2013,1268
082270,2013,3377
082286,2013,359
171735,2013,269
082299,2013,632
171740,2013,247
171753,2013,834
171766,2013,178
171772,2013,742
082310,2013,31702
082325,2013,2466
082331,2013,2571
082346,2013,4856
171788,2013,2121
081897,2013,162
082359,2013,5771
082362,2013,2415
082378,2013,2109
082384,2013,20188
082397,2013,677
251945,2013,490
082401,2013,12941
082418,2013,89
080983,2013,3422
082628,2013,10061
082649,2013,6707
082652,2013,2071
082634,2013,28422
431384,2013,3749
082439,2013,184
082444,2013,8373
171805,2013,13787
082457,2013,119195
431397,2013,2811
171812,2013,5656
082460,2013,2295
082476,2013,1448
082482,2013,7852
082495,2013,362
171827,2013,396
082508,2013,10418
082515,2013,7629
082589,2013,1084
082536,2013,164
082554,2013,174
082567,2013,882
082573,2013,138
082592,2013,9853
431401,2013,3671
171848,2013,1614
082606,2013,25863
082613,2013,3854
081923,2013,7668
431423,2013,1605
171864,2013,5335
252017,2013,118
252000,2013,388
171870,2013,890
431439,2013,53
431444,2013,1788
171886,2013,221
431457,2013,5745
431460,2013,44
430445,2013,5602
252022,2013,160
250352,2013,444
082671,2013,9461
171903,2013,1163
252043,2013,1865
171910,2013,238
171925,2013,187
252038,2013,12479
252056,2013,771
082690,2013,3775
171931,2013,6616
082704,2013,32086
170524,2013,186
252069,2013,321
082711,2013,86
431476,2013,632
252075,2013,9213
082726,2013,217
252081,2013,442
252108,2013,1846
252094,2013,2244
082732,2013,3245
252115,2013,886
171946,2013,97
252120,2013,327
082763,2013,344
082779,2013,223
082747,2013,6035
252154,2013,590
252167,2013,282
171959,2013,475
082785,2013,6797
431482,2013,138326
252189,2013,118
252192,2013,181
252173,2013,18189
082802,2013,126
082750,2013,339
171962,2013,347
082819,2013,6682
252206,2013,1330
082824,2013,9220
082798,2013,225274
252213,2013,143
252228,2013,67
431495,2013,914
431508,2013,1633
082830,2013,8440
252234,2013,1236
082845,2013,18421
082858,2013,14922
252249,2013,142
252252,2013,849
252271,2013,793
431515,2013,119
252332,2013,415
431520,2013,621
082861,2013,4020
252265,2013,297
431536,2013,17614
259078,2013,612
252287,2013,4879
252311,2013,774
252304,2013,2212
082877,2013,1494
171978,2013,170
082883,2013,2614
082896,2013,6217
252326,2013,2281
171984,2013,769
171997,2013,12232
431541,2013,139
172001,2013,815
172018,2013,189
431554,2013,34864
172023,2013,6185
252347,2013,5991
172057,2013,265
172044,2013,1203
082900,2013,2169
431567,2013,6500
431573,2013,419
172039,2013,223
172060,2013,212
082917,2013,7453
170144,2013,97
172076,2013,3177
172082,2013,1359
259010,2013,383
250432,2013,1092
172095,2013,923
082922,2013,1428
252385,2013,222
431589,2013,95
082938,2013,274
252402,2013,1993
171707,2013,222
431592,2013,93
082943,2013,3208
082956,2013,15795
431606,2013,1941
082969,2013,2709
431613,2013,24954
259062,2013,277
252398,2013,787
259097,2013,180
431628,2013,6976
082975,2013,184
431634,2013,39685
252424,2013,885
172109,2013,909
172116,2013,1165
431649,2013,495
082981,2013,48235
172121,2013,179
172137,2013,8452
252430,2013,5740
431704,2013,1365
172305,2013,799
252521,2013,760
431652,2013,729
431711,2013,23459
172142,2013,994
172155,2013,3508
172174,2013,485
083015,2013,66615
082994,2013,430
172180,2013,838
172207,2013,1134
172168,2013,222
083008,2013,7794
172214,2013,5624
083054,2013,40596
252445,2013,624
172235,2013,1161
431750,2013,626
083067,2013,753
172240,2013,401
252458,2013,510
431665,2013,2436
172253,2013,379
172266,2013,1188
172272,2013,200
252477,2013,173
172288,2013,411
431671,2013,595
252496,2013,197
252483,2013,1186
252542,2013,1090
252509,2013,444
431687,2013,114
083036,2013,309
252516,2013,1044
083020,2013,12757
089024,2013,5608
083073,2013,68768
431690,2013,557
082140,2013,9254
172229,2013,168
431726,2013,477
082191,2013,21039
431732,2013,130
431747,2013,201
172333,2013,3269
172327,2013,210
252537,2013,191
083041,2013,1142
252555,2013,446
431763,2013,905
431779,2013,410
431785,2013,2351
083089,2013,174
430521,2013,1161
